status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,probe_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,host_commissioning_seconds,host_ordinary_update_seconds,host_probe_update_seconds,traffic_scalars,traffic_bytes_float64,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
PASS,True,0.2.0-development,32,310001,oracle,False,True,3,1,3,0,3,0,3,1,4,0.018784207690351697,0.0,0.99468994140625,0.001489977934397757,2.6484951376914978e-05,0.0,2.6484951376914978e-05,0.0,192,1536,1.0,2,,
PASS,True,0.2.0-development,32,310002,retained_residual,True,True,10,8,10,0,10,0,10,1,11,0.032335991458704944,0.056071821538971195,0.99041748046875,0.005125589028466493,0.0019014269928447902,0.0,0.0019014269928447902,0.0,640,5120,6.0,9,,
PASS,True,0.2.0-development,32,310002,anderson_residual,True,True,10,8,10,0,10,0,10,1,11,0.029955797264280166,0.05436160701616527,0.99053955078125,0.005384364107158035,0.002599287894554436,0.0,0.002599287894554436,0.0,640,5120,16.0,9,,
PASS,True,0.2.0-development,32,310002,full_broyden,True,True,14,12,14,0,14,0,14,1,15,0.025723585026569455,0.04693033365078748,0.9918212890625,0.006425305095035583,0.0033053020597435534,0.0,0.0033053020597435534,0.0,896,7168,35.0,13,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,32,310002,dense_fd,True,False,,,,33,147,0,180,0,,0.22942250999903716,1.6876336443015783,,0.08435646019643173,0.03243073390331119,0.00015622400678694248,0.03227450989652425,0.0,11520,92160,33.0,,,
PASS,True,0.2.0-development,32,310002,oracle,False,True,3,1,3,0,3,0,3,1,4,0.023817830910788863,6.009258394948637e-18,0.99554443359375,0.001093532016966492,2.8978975024074316e-05,0.0,2.8978975024074316e-05,0.0,192,1536,1.0,2,,
PASS,True,0.2.0-development,64,310001,retained_residual,True,True,13,8,13,0,13,0,13,1,14,0.03427234080611927,0.05458750496787667,0.990509033203125,0.0037024259800091386,0.0008857869543135166,0.0,0.0008857869543135166,0.0,1664,13312,6.0,12,,
PASS,True,0.2.0-development,64,310001,anderson_residual,True,True,14,12,14,0,14,0,14,1,15,0.03242239549517785,0.05187173485094077,0.99072265625,0.0074078108300454915,0.005200471088755876,0.0,0.005200471088755876,0.0,1792,14336,16.0,13,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,64,310001,full_broyden,True,False,,,,0,180,0,180,0,,0.10319603763533196,0.5115870176093574,,0.08153942663921043,0.06159411201952025,0.0,0.06159411201952025,0.0,23040,184320,67.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,64,310001,dense_fd,True,False,,,,65,115,0,180,0,,0.3139306608964905,1.925349891973932,,0.17641270672902465,0.04664419958135113,0.0005041260155849159,0.046140073565766215,0.0,23040,184320,65.0,,,
PASS,True,0.2.0-development,64,310001,oracle,False,True,3,1,3,0,3,0,3,1,4,0.021354499480902664,1.9935173190268475e-17,0.994842529296875,0.001715735939797014,4.184601129963994e-05,0.0,4.184601129963994e-05,0.0,384,3072,1.0,2,,
PASS,True,0.2.0-development,64,310002,retained_residual,True,True,11,9,11,0,11,0,11,1,12,0.031014568877796002,0.056540842292758985,0.989990234375,0.003706412040628493,0.0009387410245835781,0.0,0.0009387410245835781,0.0,1408,11264,6.0,10,,
PASS,True,0.2.0-development,64,310002,anderson_residual,True,True,9,7,9,0,9,0,9,1,10,0.03042178569245712,0.05462810132140482,0.99053955078125,0.004684300976805389,0.001858311821706593,0.0,0.001858311821706593,0.0,1152,9216,16.0,8,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,64,310002,full_broyden,True,False,,,,0,180,0,180,0,,0.0638066147473141,0.5921853923617065,,0.0771090229973197,0.06319655216066167,0.0,0.06319655216066167,0.0,23040,184320,67.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,64,310002,dense_fd,True,False,,,,65,115,0,180,0,,0.3301793061874683,1.7124308740708567,,0.09370553668122739,0.03796574624720961,0.00030679901828989387,0.037658947228919715,0.0,23040,184320,65.0,,,
PASS,True,0.2.0-development,64,310002,oracle,False,True,3,1,3,0,3,0,3,1,4,0.02180698242466295,2.303004670188526e-17,0.99542236328125,0.00233420601580292,5.199393490329385e-05,0.0,5.199393490329385e-05,0.0,384,3072,1.0,2,,
PASS,True,0.2.0-development,128,310001,retained_residual,True,True,11,9,11,0,11,0,11,1,12,0.03402636061066918,0.05613209459446644,0.9897003173828125,0.00525276898406446,0.0014119861298240721,0.0,0.0014119861298240721,0.0,2816,22528,6.0,10,,
PASS,True,0.2.0-development,128,310001,anderson_residual,True,True,14,7,14,0,14,0,14,1,15,0.031075751760132993,0.05226448254951501,0.990966796875,0.008712642011232674,0.004187912913039327,0.0,0.004187912913039327,0.0,3584,28672,16.0,13,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,128,310001,full_broyden,True,False,,,,0,180,0,180,0,,0.06275568013632951,0.48287681579534075,,0.12186391866998747,0.24608947162050754,0.0,0.24608947162050754,0.0,46080,368640,131.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,128,310001,dense_fd,True,False,,,,129,51,0,180,0,,0.2904426178686498,1.1156576239649993,,0.13120524917030707,0.06837488483870402,0.000880550011061132,0.06749433482764289,0.0,46080,368640,129.0,,,
PASS,True,0.2.0-development,128,310001,oracle,False,True,3,1,3,0,3,0,3,1,4,0.020472791833252096,2.329004059067288e-17,0.995147705078125,0.003605850040912628,6.429001223295927e-05,0.0,6.429001223295927e-05,0.0,768,6144,1.0,2,,
PASS,True,0.2.0-development,128,310002,retained_residual,True,True,11,9,11,0,11,0,11,1,12,0.03226989664707384,0.3395767246821037,0.984130859375,0.01551018311874941,0.0016663800342939794,0.0,0.0016663800342939794,0.0,2816,22528,6.0,10,,
PASS,True,0.2.0-development,128,310002,anderson_residual,True,True,11,9,11,0,11,0,11,1,12,0.03197777692537704,0.3494422327750041,0.98199462890625,0.005763371009379625,0.0025448279920965433,0.0,0.0025448279920965433,0.0,2816,22528,16.0,10,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,128,310002,full_broyden,True,False,,62,,0,180,0,180,0,,0.04666281399157545,0.42253701057214715,,0.11061341618187726,0.3093314055586234,0.0,0.3093314055586234,0.0,46080,368640,131.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,128,310002,dense_fd,True,False,,,,129,51,0,180,0,,0.30299489440418964,1.21548205695348,,0.15319400874432176,0.1194477339158766,0.0008551889914087951,0.1185925449244678,0.0,46080,368640,129.0,,,
PASS,True,0.2.0-development,128,310002,oracle,False,True,3,1,3,0,3,0,3,1,4,0.02056280211397753,1.8255852714818196e-17,0.995269775390625,0.0026532349293120205,5.299801705405116e-05,0.0,5.299801705405116e-05,0.0,768,6144,1.0,2,,
