status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
PASS,True,0.2.0-development,64,310002,anderson_residual,True,True,9,7,9,0,9,9,1,10,0.03042178569245712,0.05462810132140482,0.99053955078125,0.006049055955372751,0.0047052770387381315,16.0,8,,
PASS,True,0.2.0-development,64,310002,commissioned_pi,True,True,14,9,14,2,12,14,1,15,0.03451596098529518,0.06644287190275813,0.988555908203125,0.014459599915426224,0.002839279011823237,3.0,11,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,64,310002,spsa,True,False,,,,0,14,40,0,,0.18300665668786167,0.4496855123057821,,0.027429445064626634,0.0007212489726953208,2.0,,,
PASS,True,0.2.0-development,64,310002,oracle,False,True,3,1,3,0,3,3,1,4,0.02180698242466295,2.303004670188526e-17,0.99542236328125,0.0024498399579897523,6.439897697418928e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,256,310001,do_nothing,True,False,,,,0,40,40,0,,0.18604433795468286,0.45056548064871726,,0.026477874838747084,0.001442291832063347,1.0,,,
PASS,True,0.2.0-development,256,310001,retained_residual,True,True,14,8,14,0,14,14,1,15,0.031550574935695706,0.05239376273470728,0.9911880493164062,0.005956173874437809,0.0014816790353506804,6.0,13,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,256,310001,diagonal_secant,True,False,,27,,0,40,40,0,,0.03335832688541054,0.16422601095873685,,0.030437777983024716,0.0077789220958948135,4.0,,,
PASS,True,0.2.0-development,256,310001,anderson_residual,True,True,11,9,11,0,11,11,1,12,0.032203958994048404,0.05243143392038812,0.9913253784179688,0.006867098098155111,0.004685598018113524,16.0,10,,
PASS,True,0.2.0-development,256,310001,commissioned_pi,True,True,20,14,20,2,18,20,1,21,0.032668867827745404,0.05453247647926087,0.9906158447265625,0.013715190987568349,0.0018066699849441648,3.0,17,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,256,310001,spsa,True,False,,,,0,14,40,0,,0.1854049748609217,0.44989928795721057,,0.030868566769640893,0.00091089605120942,2.0,,,
PASS,True,0.2.0-development,256,310001,oracle,False,True,3,1,3,0,3,3,1,4,0.02224143726388655,1.9126279739140727e-17,0.9954147338867188,0.0029168090550228953,9.69929969869554e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,256,310002,do_nothing,True,False,,,,0,40,40,0,,0.17545400397786057,0.4496275180154382,,0.03400731208967045,0.0013777419808320701,1.0,,,
PASS,True,0.2.0-development,256,310002,retained_residual,True,True,12,10,12,0,12,12,1,13,0.02982889544074996,0.30096704076324016,0.9857406616210938,0.011500115972012281,0.0021196510642766953,6.0,11,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,256,310002,diagonal_secant,True,False,,,,0,40,40,0,,0.03586239728782434,0.2321614339547761,,0.020951520826201886,0.005906450096517801,4.0,,,
PASS,True,0.2.0-development,256,310002,anderson_residual,True,True,12,10,12,0,12,12,1,13,0.03395359670760776,0.24728432183932192,0.9868698120117188,0.008217305934522301,0.00448748393682763,16.0,11,,
PASS,True,0.2.0-development,256,310002,commissioned_pi,True,True,40,18,40,2,38,40,1,41,0.03420310920947613,0.25632140355059185,0.9862136840820312,0.017887286085169762,0.003185753244906664,3.0,37,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,256,310002,spsa,True,False,,,,0,14,40,0,,0.17498469474718814,0.44866377988231027,,0.035400458087679,0.0006947878864593804,2.0,,,
PASS,True,0.2.0-development,256,310002,oracle,False,True,3,1,3,0,3,3,1,4,0.022247790631089573,2.299786790572074e-17,0.9952316284179688,0.0029977329540997744,5.742203211411834e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,1024,310001,do_nothing,True,False,,,,0,40,40,0,,0.18397298015627567,0.4502014747599942,,0.03421923401765525,0.002249702054541558,1.0,,,
PASS,True,0.2.0-development,1024,310001,retained_residual,True,True,11,9,11,0,11,11,1,12,0.03201332401157389,0.1747482463500141,0.9879245758056641,0.0176863829838112,0.008682668907567859,6.0,10,,
PASS,True,0.2.0-development,1024,310001,diagonal_secant,True,True,40,29,40,0,40,40,1,41,0.031816085486847084,0.19021212257397122,0.9881572723388672,0.031607351964339614,0.010335399128962308,4.0,39,,
PASS,True,0.2.0-development,1024,310001,anderson_residual,True,True,11,9,11,0,11,11,1,12,0.0316061267088283,0.14473804117946007,0.9886436462402344,0.00812017620773986,0.004166195110883564,16.0,10,,
PASS,True,0.2.0-development,1024,310001,commissioned_pi,True,True,15,6,15,2,13,15,1,16,0.033113673798280834,0.06315088509281533,0.9888687133789062,0.015473485051188618,0.001721810083836317,3.0,12,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,1024,310001,spsa,True,False,,,,0,14,40,0,,0.1841503882477681,0.45000324552647336,,0.032746028853580356,0.00045365485129877925,2.0,,,
PASS,True,0.2.0-development,1024,310001,oracle,False,True,3,1,3,0,3,3,1,4,0.02246755911828953,1.878339195118066e-17,0.9951629638671875,0.003678210952784866,8.370692376047373e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,1024,310002,do_nothing,True,False,,,,0,40,40,0,,0.17915287574942929,0.450127994624076,,0.02323050901759416,0.0009957373840734363,1.0,,,
PASS,True,0.2.0-development,1024,310002,retained_residual,True,True,10,8,10,0,10,10,1,11,0.032434102274838505,0.24488778445212644,0.9854679107666016,0.007239474973175675,0.0013087239349260926,6.0,9,,
PASS,True,0.2.0-development,1024,310002,diagonal_secant,True,True,35,33,35,0,35,35,1,36,0.0316832615721245,0.2434245272677283,0.9858913421630859,0.038627735106274486,0.010635869577527046,4.0,34,,
PASS,True,0.2.0-development,1024,310002,anderson_residual,True,True,11,9,11,0,11,11,1,12,0.030609469350082307,0.22691051834981685,0.9875774383544922,0.009866229258477688,0.004357927944511175,16.0,10,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,1024,310002,commissioned_pi,True,False,,12,,2,38,40,0,,0.036480777862322476,0.1061583248624521,,0.030753816128708422,0.004658366087824106,3.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,1024,310002,spsa,True,False,,,,0,14,40,0,,0.17992074032793026,0.45002338402008646,,0.03760756325209513,0.0006690000300295651,2.0,,,
PASS,True,0.2.0-development,1024,310002,oracle,False,True,3,1,3,0,3,3,1,4,0.02406639991002308,1.91042616319522e-17,0.9950714111328125,0.0035129489842802286,8.498301031067967e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8192,310001,do_nothing,True,False,,,,0,40,40,0,,0.1824650611335671,0.4500794466459481,,0.13076583296060562,0.0020157548715360463,1.0,,,
PASS,True,0.2.0-development,8192,310001,retained_residual,True,True,12,10,12,0,12,12,1,13,0.031053389797297427,0.2108346616422397,0.9879095554351807,0.03635131480405107,0.009370347135700285,6.0,11,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8192,310001,diagonal_secant,True,False,,,,0,40,40,0,,0.036094912663405726,0.20462278356165828,,0.10759808501461521,0.02391349308891222,4.0,,,
PASS,True,0.2.0-development,8192,310001,anderson_residual,True,True,11,9,11,0,11,11,1,12,0.03066748754467947,0.1526015583531887,0.9890732765197754,0.04367647902108729,0.01709228690015152,16.0,10,,
PASS,True,0.2.0-development,8192,310001,commissioned_pi,True,True,28,24,28,2,26,28,1,29,0.034826926284853586,0.1065742838323971,0.9884011745452881,0.06988198385806754,0.007999429013580084,3.0,25,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8192,310001,spsa,True,False,,,,0,14,40,0,,0.18218531315162864,0.4500734127077096,,0.1476992221432738,0.0015466409386135638,2.0,,,
PASS,True,0.2.0-development,8192,310001,oracle,False,True,3,1,3,0,3,3,1,4,0.02296226909068362,1.8804781582363567e-17,0.9949958324432373,0.010298354958649725,0.0003424860187806189,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8192,310002,do_nothing,True,False,,,,0,40,40,0,,0.1816194787009024,0.4500132457838596,,0.10941691981861368,0.003289420099463314,1.0,,,
PASS,True,0.2.0-development,8192,310002,retained_residual,True,True,12,10,12,0,12,12,1,13,0.03036744860181593,0.21563610603745564,0.9877429008483887,0.029438422992825508,0.007325427082832903,6.0,11,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8192,310002,diagonal_secant,True,False,,37,,0,40,40,0,,0.036532924530457846,0.20887443491893354,,0.11127636983292177,0.028993385087233037,4.0,,,
PASS,True,0.2.0-development,8192,310002,anderson_residual,True,True,11,9,11,0,11,11,1,12,0.03184651754104686,0.15963235668421405,0.988720178604126,0.035232883936259896,0.017382150050252676,16.0,10,,
PASS,True,0.2.0-development,8192,310002,commissioned_pi,True,True,32,18,32,2,30,32,1,33,0.034300497819287526,0.10843122730845223,0.9882895946502686,0.0784985902137123,0.007826307904906571,3.0,29,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8192,310002,spsa,True,False,,,,0,14,40,0,,0.1815886056088281,0.4499801400185377,,0.1471218098886311,0.00185632606735453,2.0,,,
PASS,True,0.2.0-development,8192,310002,oracle,False,True,3,1,3,0,3,3,1,4,0.02367774572492524,0.0013711956749687434,0.9950063228607178,0.00918405712582171,6.618298357352614e-05,1.0,2,,
